时间,商品名称,库存变化,单笔销量
2026-06-26 18:33:54,오메가엑스 1:1 VIDEO CALL EVENT,初始库存: 29997,3
2026-06-28 23:01:32,오메가엑스 1:1 VIDEO CALL EVENT,29997 -> 29991,6
2026-06-29 15:24:43,오메가엑스 1:1 VIDEO CALL EVENT,29991 -> 29992,-1
2026-06-30 18:54:16,오메가엑스 1:1 VIDEO CALL EVENT,29992 -> 29989,3
2026-07-01 01:25:18,오메가엑스 1:1 VIDEO CALL EVENT,29989 -> 29982,7
2026-07-01 01:35:42,오메가엑스 1:1 VIDEO CALL EVENT,29982 -> 29980,2
2026-07-01 14:30:37,오메가엑스 1:1 VIDEO CALL EVENT,29980 -> 29978,2
2026-07-01 21:09:35,오메가엑스 1:1 VIDEO CALL EVENT,29978 -> 29976,2
