时间,商品名称,库存变化,单笔销量
2026-06-26 18:33:54,오메가엑스 1:1 VIDEO CALL EVENT,初始库存: 29993,7
2026-06-28 23:01:32,오메가엑스 1:1 VIDEO CALL EVENT,29993 -> 29992,1
2026-06-29 15:24:43,오메가엑스 1:1 VIDEO CALL EVENT,29992 -> 29993,-1
2026-07-01 11:37:52,오메가엑스 1:1 VIDEO CALL EVENT,29993 -> 29986,7
2026-07-01 21:19:26,오메가엑스 1:1 VIDEO CALL EVENT,29986 -> 29984,2
2026-07-01 21:25:43,오메가엑스 1:1 VIDEO CALL EVENT,29984 -> 29982,2
2026-07-01 21:53:16,오메가엑스 1:1 VIDEO CALL EVENT,29982 -> 29981,1
2026-07-01 23:01:04,오메가엑스 1:1 VIDEO CALL EVENT,29981 -> 0,29981
