时间,商品名称,库存变化,单笔销量
2026-06-26 18:33:54,오메가엑스 1:1 VIDEO CALL EVENT,初始库存: 30000,0
2026-06-28 23:01:32,오메가엑스 1:1 VIDEO CALL EVENT,30000 -> 29992,8
2026-06-29 15:24:43,오메가엑스 1:1 VIDEO CALL EVENT,29992 -> 29993,-1
2026-07-01 19:23:10,오메가엑스 1:1 VIDEO CALL EVENT,29993 -> 29989,4
2026-07-01 20:06:53,오메가엑스 1:1 VIDEO CALL EVENT,29989 -> 29987,2
2026-07-01 20:31:59,오메가엑스 1:1 VIDEO CALL EVENT,29987 -> 29983,4
2026-07-01 21:19:26,오메가엑스 1:1 VIDEO CALL EVENT,29983 -> 29981,2
2026-07-01 21:36:16,오메가엑스 1:1 VIDEO CALL EVENT,29981 -> 29978,3
2026-07-01 21:53:16,오메가엑스 1:1 VIDEO CALL EVENT,29978 -> 29977,1
